Chr	Start	End	Type	Var1	Var2	Var3
chr1	760911	761989	gene	gene_id ENSG00000229905.1	 gene_type lncRNA	 gene_name RP11-206L10.4
chr1	778747	810065	gene	gene_id ENSG00000237491.10	 gene_type lncRNA	 gene_name LINC01409
chr1	781937	782050	gene	gene_id ENSG00000285268.1	 gene_type transcribed_processed_pseudogene	 gene_name RP11-206L10.18
chr1	800879	817712	gene	gene_id ENSG00000230092.7	 gene_type transcribed_unprocessed_pseudogene	 gene_name RP11-206L10.8
chr1	817371	819837	gene	gene_id ENSG00000177757.2	 gene_type lncRNA	 gene_name FAM87B
chr1	825138	859446	gene	gene_id ENSG00000228794.10	 gene_type lncRNA	 gene_name LINC01128
chr1	826206	827522	gene	gene_id ENSG00000225880.5	 gene_type lncRNA	 gene_name LINC00115
chr1	860226	868202	gene	gene_id ENSG00000288531.1	 gene_type lncRNA	 gene_name RP11-206L10.19
chr1	868071	876903	gene	gene_id ENSG00000230368.2	 gene_type lncRNA	 gene_name FAM41C
chr1	873292	874349	gene	gene_id ENSG00000234711.1	 gene_type unprocessed_pseudogene	 gene_name TUBB8P11
chr1	874529	877234	gene	gene_id ENSG00000283040.1	 gene_type transcribed_unprocessed_pseudogene	 gene_name FAM166AP3
chr1	904834	915976	gene	gene_id ENSG00000272438.1	 gene_type lncRNA	 gene_name RP11-54O7.16
chr1	911435	914948	gene	gene_id ENSG00000230699.2	 gene_type lncRNA	 gene_name RP11-54O7.1
chr1	914171	914971	gene	gene_id ENSG00000241180.1	 gene_type lncRNA	 gene_name RP11-54O7.2
chr1	916865	921016	gene	gene_id ENSG00000223764.2	 gene_type lncRNA	 gene_name LINC02593
chr1	923923	944575	gene	gene_id ENSG00000187634.13	 gene_type protein_coding	 gene_name SAMD11
chr1	944203	959309	gene	gene_id ENSG00000188976.11	 gene_type protein_coding	 gene_name NOC2L
chr1	960584	965719	gene	gene_id ENSG00000187961.14	 gene_type protein_coding	 gene_name KLHL17
chr1	966482	975865	gene	gene_id ENSG00000187583.11	 gene_type protein_coding	 gene_name PLEKHN1
chr1	975204	982093	gene	gene_id ENSG00000187642.9	 gene_type protein_coding	 gene_name PERM1
chr1	995966	998051	gene	gene_id ENSG00000272512.1	 gene_type lncRNA	 gene_name RP11-54O7.17
chr1	998962	1000172	gene	gene_id ENSG00000188290.11	 gene_type protein_coding	 gene_name HES4
chr1	1001138	1014540	gene	gene_id ENSG00000187608.10	 gene_type protein_coding	 gene_name ISG15
chr1	1008076	1008229	gene	gene_id ENSG00000231702.2	 gene_type processed_pseudogene	 gene_name RP11-54O7.10
chr1	1011997	1013193	gene	gene_id ENSG00000224969.1	 gene_type lncRNA	 gene_name RP11-54O7.11
chr1	1020120	1056118	gene	gene_id ENSG00000188157.15	 gene_type protein_coding	 gene_name AGRN
chr1	1055033	1056116	gene	gene_id ENSG00000242590.1	 gene_type lncRNA	 gene_name RP11-54O7.14
chr1	1059708	1069355	gene	gene_id ENSG00000217801.10	 gene_type transcribed_unprocessed_pseudogene	 gene_name RP11-465B22.3
chr1	1062208	1063288	gene	gene_id ENSG00000273443.1	 gene_type lncRNA	 gene_name RP11-54O7.18
chr1	1070967	1074306	gene	gene_id ENSG00000237330.3	 gene_type protein_coding	 gene_name RNF223
chr1	1081818	1116361	gene	gene_id ENSG00000131591.18	 gene_type protein_coding	 gene_name C1orf159
chr1	1097585	1104598	gene	gene_id ENSG00000285812.1	 gene_type lncRNA	 gene_name RP11-465B22.9
chr1	1137017	1144056	gene	gene_id ENSG00000223823.1	 gene_type lncRNA	 gene_name LINC01342
chr1	1167104	1167198	gene	gene_id ENSG00000207730.3	 gene_type miRNA	 gene_name MIR200B
chr1	1167863	1167952	gene	gene_id ENSG00000207607.3	 gene_type miRNA	 gene_name MIR200A
chr1	1169005	1169087	gene	gene_id ENSG00000198976.1	 gene_type miRNA	 gene_name MIR429
chr1	1169357	1170343	gene	gene_id ENSG00000272141.1	 gene_type lncRNA	 gene_name RP11-465B22.8
chr1	1173056	1179555	gene	gene_id ENSG00000205231.1	 gene_type lncRNA	 gene_name TTLL10-AS1
chr1	1173880	1197936	gene	gene_id ENSG00000162571.14	 gene_type protein_coding	 gene_name TTLL10
chr1	1203508	1206592	gene	gene_id ENSG00000186891.14	 gene_type protein_coding	 gene_name TNFRSF18
chr1	1211340	1214153	gene	gene_id ENSG00000186827.11	 gene_type protein_coding	 gene_name TNFRSF4
chr1	1216909	1232067	gene	gene_id ENSG00000078808.19	 gene_type protein_coding	 gene_name SDF4
chr1	1232237	1235041	gene	gene_id ENSG00000176022.7	 gene_type protein_coding	 gene_name B3GALT6
chr1	1242446	1246722	gene	gene_id ENSG00000184163.3	 gene_type protein_coding	 gene_name C1QTNF12
chr1	1249777	1251334	gene	gene_id ENSG00000260179.1	 gene_type lncRNA	 gene_name RP5-902P8.12
chr1	1253909	1273864	gene	gene_id ENSG00000160087.21	 gene_type protein_coding	 gene_name UBE2J2
chr1	1275223	1280420	gene	gene_id ENSG00000230415.1	 gene_type lncRNA	 gene_name LINC01786
chr1	1280436	1292029	gene	gene_id ENSG00000162572.21	 gene_type protein_coding	 gene_name SCNN1D
chr1	1292390	1309609	gene	gene_id ENSG00000131584.19	 gene_type protein_coding	 gene_name ACAP3
chr1	1296110	1296170	gene	gene_id ENSG00000278073.1	 gene_type miRNA	 gene_name MIR6726
chr1	1308597	1311677	gene	gene_id ENSG00000169972.12	 gene_type protein_coding	 gene_name PUSL1
chr1	1311585	1324687	gene	gene_id ENSG00000127054.21	 gene_type protein_coding	 gene_name INTS11
chr1	1312502	1312566	gene	gene_id ENSG00000283712.1	 gene_type miRNA	 gene_name MIR6727
chr1	1317581	1318689	gene	gene_id ENSG00000240731.1	 gene_type lncRNA	 gene_name RP5-890O3.9
chr1	1324756	1328896	gene	gene_id ENSG00000224051.7	 gene_type protein_coding	 gene_name CPTP
chr1	1331280	1335314	gene	gene_id ENSG00000169962.5	 gene_type protein_coding	 gene_name TAS1R3
chr1	1335276	1349418	gene	gene_id ENSG00000107404.20	 gene_type protein_coding	 gene_name DVL1
chr1	1339650	1339708	gene	gene_id ENSG00000284372.1	 gene_type miRNA	 gene_name MIR6808
chr1	1352689	1361777	gene	gene_id ENSG00000162576.17	 gene_type protein_coding	 gene_name MXRA8
chr1	1373730	1375495	gene	gene_id ENSG00000175756.13	 gene_type protein_coding	 gene_name AURKAIP1
chr1	1378666	1379032	gene	gene_id ENSG00000223663.2	 gene_type processed_pseudogene	 gene_name NDUFB4P8
chr1	1385711	1399335	gene	gene_id ENSG00000221978.12	 gene_type protein_coding	 gene_name CCNL2
chr1	1399520	1402046	gene	gene_id ENSG00000224870.7	 gene_type lncRNA	 gene_name MRPL20-AS1
chr1	1401909	1407293	gene	gene_id ENSG00000242485.6	 gene_type protein_coding	 gene_name MRPL20
chr1	1405460	1405752	gene	gene_id ENSG00000264293.2	 gene_type misc_RNA	 gene_name RN7SL657P
chr1	1409096	1410618	gene	gene_id ENSG00000272455.1	 gene_type lncRNA	 gene_name MRPL20-DT
chr1	1418420	1421769	gene	gene_id ENSG00000235098.9	 gene_type protein_coding	 gene_name ANKRD65
chr1	1420245	1422691	gene	gene_id ENSG00000225905.1	 gene_type lncRNA	 gene_name RP4-758J18.7
chr1	1425871	1430255	gene	gene_id ENSG00000205116.4	 gene_type protein_coding	 gene_name TMEM88B
chr1	1430539	1434573	gene	gene_id ENSG00000225285.1	 gene_type lncRNA	 gene_name LINC01770
chr1	1434861	1442882	gene	gene_id ENSG00000179403.12	 gene_type protein_coding	 gene_name VWA1
chr1	1449689	1470163	gene	gene_id ENSG00000215915.10	 gene_type protein_coding	 gene_name ATAD3C
chr1	1471765	1497848	gene	gene_id ENSG00000160072.20	 gene_type protein_coding	 gene_name ATAD3B
chr1	1503250	1509452	gene	gene_id ENSG00000284740.1	 gene_type transcribed_unprocessed_pseudogene	 gene_name RP5-832C2.8
chr1	1512162	1534685	gene	gene_id ENSG00000197785.14	 gene_type protein_coding	 gene_name ATAD3A
chr1	1534778	1540624	gene	gene_id ENSG00000205090.9	 gene_type protein_coding	 gene_name TMEM240
chr1	1541673	1574863	gene	gene_id ENSG00000160075.12	 gene_type protein_coding	 gene_name SSU72
chr1	1574102	1577075	gene	gene_id ENSG00000215014.5	 gene_type lncRNA	 gene_name RP5-832C2.5
chr1	1583510	1583909	gene	gene_id ENSG00000274481.1	 gene_type processed_pseudogene	 gene_name RP11-345P4.11
chr1	1598012	1600135	gene	gene_id ENSG00000228594.4	 gene_type protein_coding	 gene_name FNDC10
chr1	1600314	1602703	gene	gene_id ENSG00000286989.1	 gene_type lncRNA	 gene_name RP11-345P4.12
chr1	1613758	1615795	gene	gene_id ENSG00000272106.1	 gene_type lncRNA	 gene_name RP11-345P4.9
chr1	1615454	1630605	gene	gene_id ENSG00000197530.13	 gene_type protein_coding	 gene_name MIB2
chr1	1632163	1635263	gene	gene_id ENSG00000189409.14	 gene_type protein_coding	 gene_name MMP23B
chr1	1635225	1659012	gene	gene_id ENSG00000248333.9	 gene_type protein_coding	 gene_name CDK11B
chr1	1659325	1662602	gene	gene_id ENSG00000272004.1	 gene_type lncRNA	 gene_name RP11-345P4.10
chr1	1659529	1692795	gene	gene_id ENSG00000189339.12	 gene_type protein_coding	 gene_name SLC35E2B
chr1	1671990	1674397	gene	gene_id ENSG00000269737.2	 gene_type transcribed_processed_pseudogene	 gene_name RP11-345P4.6
chr1	1699942	1701782	gene	gene_id ENSG00000215914.4	 gene_type unprocessed_pseudogene	 gene_name MMP23A
chr1	1702379	1724357	gene	gene_id ENSG00000008128.23	 gene_type protein_coding	 gene_name CDK11A
chr1	1702736	1737688	gene	gene_id ENSG00000268575.1	 gene_type lncRNA	 gene_name RP1-283E3.8
chr1	1724512	1737251	gene	gene_id ENSG00000227775.3	 gene_type transcribed_processed_pseudogene	 gene_name RP1-283E3.4
chr1	1724838	1745992	gene	gene_id ENSG00000215790.8	 gene_type transcribed_unprocessed_pseudogene	 gene_name SLC35E2A
chr1	1751232	1780457	gene	gene_id ENSG00000008130.15	 gene_type protein_coding	 gene_name NADK
chr1	1785285	1891117	gene	gene_id ENSG00000078369.18	 gene_type protein_coding	 gene_name GNB1
chr1	1891471	1892658	gene	gene_id ENSG00000231050.1	 gene_type lncRNA	 gene_name RP1-140A9.1
chr1	1915108	1917296	gene	gene_id ENSG00000169885.10	 gene_type protein_coding	 gene_name CALML6
chr1	1917590	1919279	gene	gene_id ENSG00000178821.13	 gene_type protein_coding	 gene_name TMEM52
chr1	1921951	2003837	gene	gene_id ENSG00000142609.19	 gene_type protein_coding	 gene_name CFAP74
chr1	2013213	2015639	gene	gene_id ENSG00000233542.2	 gene_type lncRNA	 gene_name RP11-547D24.1
chr1	2019329	2030758	gene	gene_id ENSG00000187730.9	 gene_type protein_coding	 gene_name GABRD
chr1	2049203	2050070	gene	gene_id ENSG00000226969.1	 gene_type lncRNA	 gene_name RP11-547D24.3
chr1	2050411	2185395	gene	gene_id ENSG00000067606.17	 gene_type protein_coding	 gene_name PRKCZ
chr1	2141084	2145279	gene	gene_id ENSG00000271806.1	 gene_type lncRNA	 gene_name RP5-892K4.1
chr1	2181794	2184389	gene	gene_id ENSG00000182873.5	 gene_type lncRNA	 gene_name PRKCZ-AS1
chr1	2184461	2212720	gene	gene_id ENSG00000162585.17	 gene_type protein_coding	 gene_name FAAP20
chr1	2212523	2220738	gene	gene_id ENSG00000234396.3	 gene_type lncRNA	 gene_name RP11-181G12.4
chr1	2228319	2310213	gene	gene_id ENSG00000157933.10	 gene_type protein_coding	 gene_name SKI
chr1	2315040	2323085	gene	gene_id ENSG00000287356.1	 gene_type lncRNA	 gene_name RP11-181G12.8
chr1	2321253	2391707	gene	gene_id ENSG00000116151.14	 gene_type protein_coding	 gene_name MORN1
chr1	2326201	2326693	gene	gene_id ENSG00000272161.1	 gene_type lncRNA	 gene_name RP4-713A8.1
chr1	2350414	2352820	gene	gene_id ENSG00000269896.2	 gene_type transcribed_processed_pseudogene	 gene_name RP4-740C4.5
chr1	2363061	2363628	gene	gene_id ENSG00000272420.1	 gene_type lncRNA	 gene_name RP4-740C4.7
chr1	2391775	2405442	gene	gene_id ENSG00000157916.20	 gene_type protein_coding	 gene_name RER1
chr1	2403964	2413797	gene	gene_id ENSG00000157911.11	 gene_type protein_coding	 gene_name PEX10
chr1	2425980	2505532	gene	gene_id ENSG00000149527.18	 gene_type protein_coding	 gene_name PLCH2
chr1	2492300	2493258	gene	gene_id ENSG00000224387.1	 gene_type lncRNA	 gene_name RP3-395M20.2
chr1	2493437	2494479	gene	gene_id ENSG00000229393.1	 gene_type lncRNA	 gene_name RP3-395M20.3
chr1	2508537	2526597	gene	gene_id ENSG00000157881.16	 gene_type protein_coding	 gene_name PANK4
chr1	2528745	2530263	gene	gene_id ENSG00000197921.6	 gene_type protein_coding	 gene_name HES5
chr1	2530064	2547460	gene	gene_id ENSG00000272449.2	 gene_type lncRNA	 gene_name RP3-395M20.12
chr1	2549920	2557031	gene	gene_id ENSG00000238164.6	 gene_type lncRNA	 gene_name TNFRSF14-AS1
chr1	2555639	2565382	gene	gene_id ENSG00000157873.18	 gene_type protein_coding	 gene_name TNFRSF14
chr1	2566410	2569888	gene	gene_id ENSG00000225931.3	 gene_type TEC	 gene_name RP3-395M20.7
chr1	2581560	2584533	gene	gene_id ENSG00000228037.1	 gene_type lncRNA	 gene_name RP3-395M20.9
chr1	2586491	2591469	gene	gene_id ENSG00000157870.17	 gene_type protein_coding	 gene_name PRXL2B
chr1	2590639	2633016	gene	gene_id ENSG00000142606.16	 gene_type protein_coding	 gene_name MMEL1
chr1	2632568	2636620	gene	gene_id ENSG00000237058.1	 gene_type lncRNA	 gene_name MMEL1-AS1
chr1	2635976	2801717	gene	gene_id ENSG00000215912.12	 gene_type protein_coding	 gene_name TTC34
chr1	2768091	2784733	gene	gene_id ENSG00000285945.1	 gene_type lncRNA	 gene_name ABC14-1188822O7.2
chr1	2773603	2776473	gene	gene_id ENSG00000283259.1	 gene_type lncRNA	 gene_name ABC14-1188822O7.1
chr1	2811850	2812692	gene	gene_id ENSG00000233234.1	 gene_type lncRNA	 gene_name RP11-740P5.2
chr1	2814056	2817767	gene	gene_id ENSG00000287396.1	 gene_type lncRNA	 gene_name RP11-740P5.4
chr1	2814432	2814998	gene	gene_id ENSG00000231630.1	 gene_type lncRNA	 gene_name RP11-740P5.3
chr1	2960658	2968707	gene	gene_id ENSG00000284745.1	 gene_type lncRNA	 gene_name RP5-907A6.1
chr1	3021467	3022903	gene	gene_id ENSG00000169717.7	 gene_type protein_coding	 gene_name ACTRT2
chr1	3059615	3068437	gene	gene_id ENSG00000177133.12	 gene_type lncRNA	 gene_name PRDM16-DT
chr1	3069168	3438621	gene	gene_id ENSG00000142611.17	 gene_type protein_coding	 gene_name PRDM16
chr1	3127975	3128035	gene	gene_id ENSG00000283572.1	 gene_type miRNA	 gene_name MIR4251
chr1	3132927	3133709	gene	gene_id ENSG00000226286.1	 gene_type lncRNA	 gene_name RP1-163G9.2
chr1	3205988	3208664	gene	gene_id ENSG00000279839.1	 gene_type TEC	 gene_name RP11-193J6.1
chr1	3306636	3310096	gene	gene_id ENSG00000272235.1	 gene_type lncRNA	 gene_name RP11-22L13.1
chr1	3313052	3323149	gene	gene_id ENSG00000287828.1	 gene_type lncRNA	 gene_name RP4-785P20.3
chr1	3367815	3373928	gene	gene_id ENSG00000286518.1	 gene_type lncRNA	 gene_name RP4-785P20.2
chr1	3454665	3481113	gene	gene_id ENSG00000130762.15	 gene_type protein_coding	 gene_name ARHGEF16
chr1	3487246	3487627	gene	gene_id ENSG00000272088.1	 gene_type lncRNA	 gene_name RP11-168F9.2
chr1	3487951	3611508	gene	gene_id ENSG00000162591.16	 gene_type protein_coding	 gene_name MEGF6
chr1	3560695	3560790	gene	gene_id ENSG00000207776.1	 gene_type miRNA	 gene_name MIR551A
chr1	3623190	3624743	gene	gene_id ENSG00000238260.1	 gene_type lncRNA	 gene_name RP11-46F15.2
chr1	3625015	3630127	gene	gene_id ENSG00000158109.15	 gene_type protein_coding	 gene_name TPRG1L
chr1	3630767	3652761	gene	gene_id ENSG00000116213.16	 gene_type protein_coding	 gene_name WRAP73
chr1	3652516	3736201	gene	gene_id ENSG00000078900.15	 gene_type protein_coding	 gene_name TP73
chr1	3658938	3668772	gene	gene_id ENSG00000227589.1	 gene_type lncRNA	 gene_name TP73-AS3
chr1	3712200	3714298	gene	gene_id ENSG00000235131.1	 gene_type lncRNA	 gene_name TP73-AS2
chr1	3735511	3747373	gene	gene_id ENSG00000227372.12	 gene_type transcribed_unitary_pseudogene	 gene_name TP73-AS1
chr1	3736943	3737103	gene	gene_id ENSG00000276189.1	 gene_type misc_RNA	 gene_name ENSG10010138423.1
chr1	3746460	3771645	gene	gene_id ENSG00000162592.10	 gene_type protein_coding	 gene_name CCDC27
chr1	3772749	3775982	gene	gene_id ENSG00000235169.11	 gene_type protein_coding	 gene_name SMIM1
chr1	3778559	3796498	gene	gene_id ENSG00000130764.10	 gene_type protein_coding	 gene_name LRRC47
chr1	3782815	3783111	gene	gene_id ENSG00000266075.2	 gene_type misc_RNA	 gene_name RN7SL574P
chr1	3785008	3785538	gene	gene_id ENSG00000272153.1	 gene_type lncRNA	 gene_name RP1-286D6.5
chr1	3812086	3857396	gene	gene_id ENSG00000116198.14	 gene_type protein_coding	 gene_name CEP104
chr1	3857267	3885429	gene	gene_id ENSG00000169598.17	 gene_type protein_coding	 gene_name DFFB
chr1	3889125	3900293	gene	gene_id ENSG00000198912.12	 gene_type protein_coding	 gene_name C1orf174
chr1	3900352	3917225	gene	gene_id ENSG00000236423.6	 gene_type lncRNA	 gene_name LINC01134
chr1	3940486	3955262	gene	gene_id ENSG00000233304.7	 gene_type lncRNA	 gene_name LINC01346
chr1	3944547	3949024	gene	gene_id ENSG00000226374.3	 gene_type lncRNA	 gene_name LINC01345
chr1	3976133	4012704	gene	gene_id ENSG00000284668.2	 gene_type lncRNA	 gene_name LINC02780
chr1	4012921	4019508	gene	gene_id ENSG00000284703.1	 gene_type lncRNA	 gene_name RP11-718D19.2
chr1	4175528	4175899	gene	gene_id ENSG00000229280.1	 gene_type processed_pseudogene	 gene_name EEF1DP6
chr1	4412027	4424689	gene	gene_id ENSG00000235054.4	 gene_type lncRNA	 gene_name LINC01777
chr1	4479131	4484375	gene	gene_id ENSG00000284694.1	 gene_type lncRNA	 gene_name RP5-1166F10.2
chr1	4551735	4552145	gene	gene_id ENSG00000227169.2	 gene_type lncRNA	 gene_name RP1-37J18.1
chr1	4571481	4594016	gene	gene_id ENSG00000232596.3	 gene_type lncRNA	 gene_name LINC01646
chr1	4654609	4792534	gene	gene_id ENSG00000196581.11	 gene_type protein_coding	 gene_name AJAP1
chr1	4730211	4734992	gene	gene_id ENSG00000287586.1	 gene_type lncRNA	 gene_name RP1-77N19.1
chr1	4963954	4973298	gene	gene_id ENSG00000284739.1	 gene_type lncRNA	 gene_name RP4-603B14.2
chr1	4973381	4981568	gene	gene_id ENSG00000284674.1	 gene_type lncRNA	 gene_name LINC02781
chr1	5086459	5090899	gene	gene_id ENSG00000231510.1	 gene_type lncRNA	 gene_name LINC02782
chr1	5301928	5307394	gene	gene_id ENSG00000284616.1	 gene_type lncRNA	 gene_name RP4-703E10.1
chr1	5478736	5493057	gene	gene_id ENSG00000284692.2	 gene_type lncRNA	 gene_name RP1-58B11.2
chr1	5480787	5482028	gene	gene_id ENSG00000284666.1	 gene_type lncRNA	 gene_name RP1-58B11.3
chr1	5492978	5494674	gene	gene_id ENSG00000260972.1	 gene_type lncRNA	 gene_name RP1-58B11.1
chr1	5554747	5554881	gene	gene_id ENSG00000283356.1	 gene_type unprocessed_pseudogene	 gene_name RP3-491M17.1
chr1	5561709	5668295	gene	gene_id ENSG00000236948.2	 gene_type lncRNA	 gene_name RP11-154H17.1
chr1	5564071	5564143	gene	gene_id ENSG00000264341.1	 gene_type miRNA	 gene_name ENSG00000264341
chr1	5862672	5862741	gene	gene_id ENSG00000264101.1	 gene_type miRNA	 gene_name MIR4689
chr1	5862811	5992473	gene	gene_id ENSG00000131697.18	 gene_type protein_coding	 gene_name NPHP4
chr1	5990927	6101193	gene	gene_id ENSG00000069424.15	 gene_type protein_coding	 gene_name KCNAB2
chr1	6101787	6180321	gene	gene_id ENSG00000116254.18	 gene_type protein_coding	 gene_name CHD5
chr1	6159430	6197757	gene	gene_id ENSG00000285629.1	 gene_type protein_coding	 gene_name RP1-120G22.12
chr1	6185020	6209389	gene	gene_id ENSG00000116251.11	 gene_type protein_coding	 gene_name RPL22
chr1	6204840	6205780	gene	gene_id ENSG00000226944.1	 gene_type lncRNA	 gene_name RNF207-AS1
chr1	6205475	6221299	gene	gene_id ENSG00000158286.13	 gene_type protein_coding	 gene_name RNF207
chr1	6221193	6235972	gene	gene_id ENSG00000116237.16	 gene_type protein_coding	 gene_name ICMT
chr1	6234692	6239444	gene	gene_id ENSG00000225077.3	 gene_type lncRNA	 gene_name LINC00337
chr1	6244179	6245578	gene	gene_id ENSG00000173673.8	 gene_type protein_coding	 gene_name HES3
chr1	6247353	6261098	gene	gene_id ENSG00000158292.7	 gene_type protein_coding	 gene_name GPR153
chr1	6264269	6393767	gene	gene_id ENSG00000097021.20	 gene_type protein_coding	 gene_name ACOT7
chr1	6393555	6394391	gene	gene_id ENSG00000271746.1	 gene_type lncRNA	 gene_name RP1-202O8.3
chr1	6412418	6424670	gene	gene_id ENSG00000069812.11	 gene_type protein_coding	 gene_name HES2
chr1	6424776	6461367	gene	gene_id ENSG00000187017.17	 gene_type protein_coding	 gene_name ESPN
chr1	6429834	6429896	gene	gene_id ENSG00000265392.1	 gene_type miRNA	 gene_name MIR4252
chr1	6443034	6447006	gene	gene_id ENSG00000231868.1	 gene_type lncRNA	 gene_name RP1-202O8.2
chr1	6460786	6466175	gene	gene_id ENSG00000215788.11	 gene_type protein_coding	 gene_name TNFRSF25
chr1	6467122	6520074	gene	gene_id ENSG00000171680.23	 gene_type protein_coding	 gene_name PLEKHG5
chr1	6521347	6554513	gene	gene_id ENSG00000162408.11	 gene_type protein_coding	 gene_name NOL9
chr1	6540854	6540964	gene	gene_id ENSG00000253022.1	 gene_type snRNA	 gene_name RNU6-731P
chr1	6547905	6548619	gene	gene_id ENSG00000229519.2	 gene_type processed_pseudogene	 gene_name RP11-58A11.2
chr1	6555307	6579755	gene	gene_id ENSG00000173662.21	 gene_type protein_coding	 gene_name TAS1R1
chr1	6579994	6589280	gene	gene_id ENSG00000204859.13	 gene_type protein_coding	 gene_name ZBTB48
